id;id_pays;pays;annee;valeur;type_valeur;confiance_min;confiance_max;confiance_median;qualite_donnees;fichier_source
1965;95;Madagascar;2010;1400.0;count;1000.0;1700.0;1400.0;good;no_of_deaths_by_country_clean.csv
1795;95;Madagascar;2018;1700.0;count;1200.0;2300.0;1700.0;good;no_of_deaths_by_country_clean.csv
2136;96;Malawi;2000;57000.0;count;49000.0;65000.0;57000.0;good;no_of_deaths_by_country_clean.csv
1966;96;Malawi;2010;29000.0;count;25000.0;33000.0;29000.0;good;no_of_deaths_by_country_clean.csv
1796;96;Malawi;2018;13000.0;count;11000.0;16000.0;13000.0;good;no_of_deaths_by_country_clean.csv
2137;97;Malaysia;2000;2700.0;count;2200.0;3200.0;2700.0;good;no_of_deaths_by_country_clean.csv
1967;97;Malaysia;2010;2900.0;count;2400.0;3300.0;2900.0;good;no_of_deaths_by_country_clean.csv
1797;97;Malaysia;2018;2600.0;count;2100.0;3300.0;2600.0;good;no_of_deaths_by_country_clean.csv
2138;98;Maldives;2000;;count;;;;good;no_of_deaths_by_country_clean.csv
1968;98;Maldives;2010;;count;;;;good;no_of_deaths_by_country_clean.csv
1798;98;Maldives;2018;;count;;;;good;no_of_deaths_by_country_clean.csv
2139;99;Mali;2000;7700.0;count;5600.0;9800.0;7700.0;good;no_of_deaths_by_country_clean.csv
1969;99;Mali;2010;5300.0;count;4100.0;6700.0;5300.0;good;no_of_deaths_by_country_clean.csv
1799;99;Mali;2018;6500.0;count;5000.0;8700.0;6500.0;good;no_of_deaths_by_country_clean.csv
2140;100;Malta;2000;;count;;;;good;no_of_deaths_by_country_clean.csv
1970;100;Malta;2010;;count;;;;good;no_of_deaths_by_country_clean.csv
1800;100;Malta;2018;;count;;;;good;no_of_deaths_by_country_clean.csv
2141;101;Mauritania;2000;500.0;count;200.0;500.0;500.0;good;no_of_deaths_by_country_clean.csv
1971;101;Mauritania;2010;500.0;count;500.0;500.0;500.0;good;no_of_deaths_by_country_clean.csv
1801;101;Mauritania;2018;500.0;count;200.0;500.0;500.0;good;no_of_deaths_by_country_clean.csv
2142;102;Mauritius;2000;100.0;count;100.0;200.0;100.0;good;no_of_deaths_by_country_clean.csv
1972;102;Mauritius;2010;500.0;count;500.0;680.0;500.0;good;no_of_deaths_by_country_clean.csv
1802;102;Mauritius;2018;610.0;count;500.0;820.0;610.0;good;no_of_deaths_by_country_clean.csv
2143;103;Mexico;2000;;count;;;;good;no_of_deaths_by_country_clean.csv
1973;103;Mexico;2010;;count;;;;good;no_of_deaths_by_country_clean.csv
1803;103;Mexico;2018;;count;;;;good;no_of_deaths_by_country_clean.csv
2168;128;Moldova;2000;500.0;count;500.0;500.0;500.0;good;no_of_deaths_by_country_clean.csv
1998;128;Moldova;2010;740.0;count;510.0;1100.0;740.0;good;no_of_deaths_by_country_clean.csv
1828;128;Moldova;2018;570.0;count;500.0;860.0;570.0;good;no_of_deaths_by_country_clean.csv
2144;104;Mongolia;2000;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1974;104;Mongolia;2010;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1804;104;Mongolia;2018;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
