id;id_pays;pays;region;id_type_statistique;type_statistique;annee;valeur;type_valeur;valeur_texte;confiance_min;confiance_max;confiance_median;qualite_donnees;fichier_source;date_creation
2554;4;Angola;Africa;5;HIV Cases Adults 15-49;2005;1.4;count;;1.2;1.7;1.4;good;no_of_cases_adults_15_to_49_by_country_clean.csv;2025-06-30 12:28:07
2384;4;Angola;Africa;5;HIV Cases Adults 15-49;2010;1.7;count;;1.5;2.0;1.7;good;no_of_cases_adults_15_to_49_by_country_clean.csv;2025-06-30 12:28:07
2214;4;Angola;Africa;5;HIV Cases Adults 15-49;2018;2.0;count;;1.7;2.3;2.0;good;no_of_cases_adults_15_to_49_by_country_clean.csv;2025-06-30 12:28:07
2044;4;Angola;Africa;4;HIV-related Deaths;2000;4800.0;count;;3500.0;6400.0;4800.0;good;no_of_deaths_by_country_clean.csv;2025-06-30 12:28:07
1874;4;Angola;Africa;4;HIV-related Deaths;2010;10000.0;count;;7300.0;13000.0;10000.0;good;no_of_deaths_by_country_clean.csv;2025-06-30 12:28:07
1704;4;Angola;Africa;4;HIV-related Deaths;2018;14000.0;count;;9500.0;18000.0;14000.0;good;no_of_deaths_by_country_clean.csv;2025-06-30 12:28:07
1534;4;Angola;Africa;3;People Living with HIV;2000;87000.0;count;;72000.0;110000.0;87000.0;good;no_of_people_living_with_hiv_by_country_clean.csv;2025-06-30 12:28:07
1364;4;Angola;Africa;3;People Living with HIV;2005;150000.0;count;;120000.0;170000.0;150000.0;good;no_of_people_living_with_hiv_by_country_clean.csv;2025-06-30 12:28:07
1194;4;Angola;Africa;3;People Living with HIV;2010;220000.0;count;;180000.0;250000.0;220000.0;good;no_of_people_living_with_hiv_by_country_clean.csv;2025-06-30 12:28:07
1024;4;Angola;Africa;3;People Living with HIV;2018;330000.0;count;;290000.0;390000.0;330000.0;good;no_of_people_living_with_hiv_by_country_clean.csv;2025-06-30 12:28:07
11;4;Angola;Africa;1;Prevention of Mother-to-Child Transmission;2023;25000.0;needing_antiretrovirals;;19000.0;32000.0;25000.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv;2025-06-30 12:28:07
12;4;Angola;Africa;1;Prevention of Mother-to-Child Transmission;2023;38.0;percentage_received;;29.0;48.0;38.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv;2025-06-30 12:28:07
10;4;Angola;Africa;1;Prevention of Mother-to-Child Transmission;2023;9600.0;received_antiretrovirals;;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv;2025-06-30 12:28:07
525;5;Argentina;Americas;2;ART Coverage;2023;61.0;estimated_art_coverage_percent;;55.0;67.0;61.0;good;art_coverage_by_country_clean.csv;2025-06-30 12:28:07
524;5;Argentina;Americas;2;ART Coverage;2023;140000.0;estimated_living_with_hiv;;130000.0;150000.0;140000.0;good;art_coverage_by_country_clean.csv;2025-06-30 12:28:07
523;5;Argentina;Americas;2;ART Coverage;2023;85500.0;reported_receiving_art;;;;;good;art_coverage_by_country_clean.csv;2025-06-30 12:28:07
2905;5;Argentina;Americas;6;ART Pediatric Coverage;2023;92.0;estimated_children_art_coverage_percent;;84.0;95.0;92.0;good;art_pediatric_coverage_by_country_clean.csv;2025-06-30 12:28:07
2904;5;Argentina;Americas;6;ART Pediatric Coverage;2023;1800.0;estimated_children_needing_art;;1600.0;2100.0;1800.0;good;art_pediatric_coverage_by_country_clean.csv;2025-06-30 12:28:07
2903;5;Argentina;Americas;6;ART Pediatric Coverage;2023;1700.0;reported_children_receiving_art;;;;;good;art_pediatric_coverage_by_country_clean.csv;2025-06-30 12:28:07
2725;5;Argentina;Americas;5;HIV Cases Adults 15-49;2000;0.3;count;;0.3;0.3;0.3;good;no_of_cases_adults_15_to_49_by_country_clean.csv;2025-06-30 12:28:07
2555;5;Argentina;Americas;5;HIV Cases Adults 15-49;2005;0.3;count;;0.3;0.4;0.3;good;no_of_cases_adults_15_to_49_by_country_clean.csv;2025-06-30 12:28:07
2385;5;Argentina;Americas;5;HIV Cases Adults 15-49;2010;0.4;count;;0.3;0.4;0.4;good;no_of_cases_adults_15_to_49_by_country_clean.csv;2025-06-30 12:28:07
2215;5;Argentina;Americas;5;HIV Cases Adults 15-49;2018;0.4;count;;0.4;0.4;0.4;good;no_of_cases_adults_15_to_49_by_country_clean.csv;2025-06-30 12:28:07
2045;5;Argentina;Americas;4;HIV-related Deaths;2000;1400.0;count;;1200.0;1700.0;1400.0;good;no_of_deaths_by_country_clean.csv;2025-06-30 12:28:07
