id_pays ,population_hiv_median ,population_hiv_min ,population_hiv_max ,couverture_median ,couverture_min ,couverture_max ,id_type_traitement
    103 ,               230000 ,            200000 ,            270000 ,               70 ,            60 ,            80 ,                 1
    104 ,                  600 ,               530 ,               670 ,               32 ,            29 ,            36 ,                 1
    105 ,                  500 ,               500 ,               500 ,               40 ,            34 ,            46 ,                 1
    106 ,                21000 ,             17000 ,             28000 ,               65 ,            52 ,            86 ,                 1
    107 ,              2200000 ,           1700000 ,           2700000 ,               56 ,            44 ,            68 ,                 1
    108 ,               240000 ,            210000 ,            270000 ,               70 ,            63 ,            79 ,                 1
    109 ,               200000 ,            190000 ,            220000 ,               92 ,            84 ,            95 ,                 1
    110 ,                30000 ,             26000 ,             34000 ,               56 ,            50 ,            65 ,                 1
    112 ,                 3600 ,              3100 ,              4200 ,               73 ,            62 ,            84 ,                 1
    113 ,                 9400 ,              7600 ,             12000 ,               53 ,            43 ,            68 ,                 1
    114 ,                36000 ,             30000 ,             43000 ,               54 ,            45 ,            65 ,                 1
    115 ,              1900000 ,           1400000 ,           2600000 ,               53 ,            40 ,            71 ,                 1
    116 ,                 5800 ,              5200 ,              6300 ,               82 ,            74 ,            90 ,                 1
    117 ,                 3200 ,              2900 ,              3600 ,               41 ,            37 ,            45 ,                 1
    118 ,               160000 ,            140000 ,            190000 ,               10 ,             9 ,            11 ,                 1
    119 ,                26000 ,             24000 ,             29000 ,               54 ,            48 ,            59 ,                 1
    120 ,                45000 ,             41000 ,             50000 ,               65 ,            58 ,            71 ,                 1
    121 ,                21000 ,             16000 ,             31000 ,               40 ,            31 ,            58 ,                 1
    122 ,                79000 ,             58000 ,            110000 ,               73 ,            54 ,            95 ,                 1
    123 ,                77000 ,             65000 ,             90000 ,               44 ,            37 ,            51 ,                 1
    125 ,                41000 ,             36000 ,             46000 ,               90 ,            78 ,            95 ,                 1
    128 ,                17000 ,             14000 ,             23000 ,               34 ,            27 ,            45 ,                 1
    129 ,                  500 ,               500 ,               520 ,               54 ,            47 ,            63 ,                 1
    130 ,                18000 ,             16000 ,             20000 ,               67 ,            60 ,            73 ,                 1
    132 ,               220000 ,            200000 ,            250000 ,               87 ,            76 ,            95 ,                 1
    134 ,                42000 ,             37000 ,             47000 ,               63 ,            55 ,            71 ,                 1
    135 ,                 3000 ,              2200 ,              3800 ,               65 ,            47 ,            83 ,                 1
    136 ,                70000 ,             56000 ,             86000 ,               41 ,            33 ,            50 ,                 1
    137 ,                 7900 ,              7200 ,              8700 ,               78 ,            71 ,            86 ,                 1
    138 ,                 1200 ,               910 ,              1900 ,               54 ,            40 ,            85 ,                 1
    140 ,                11000 ,              8400 ,             15000 ,               30 ,            23 ,            41 ,                 1
    141 ,              7700000 ,           7100000 ,           8300000 ,               62 ,            57 ,            66 ,                 1
    142 ,               190000 ,            140000 ,            240000 ,               16 ,            12 ,            20 ,                 1
    143 ,               150000 ,            130000 ,            170000 ,               84 ,            73 ,            94 ,                 1
